2024-04-17 00:41:09.240947 [info] : ========== Server init ==========
2024-04-17 00:41:09.240962 [info] : Port:1316, OpenLinger: false
2024-04-17 00:41:09.240967 [info] : Listen Mode: ET, OpenConn Mode: ET
2024-04-17 00:41:09.240971 [info] : LogSys level: 0
2024-04-17 00:41:09.240975 [info] : srcDir: /home/ubuntu/projects/LiteWebServer/resources
2024-04-17 00:41:09.240979 [info] : SqlConnPool num: 12, ThreadPool num: 6
2024-04-17 00:41:17.390655 [info] : Client[18](202.120.38.17:44301) in
2024-04-17 00:41:17.390764 [info] : Client[18] in!
2024-04-17 00:41:17.391357 [debug]: [GET], [/], [1.1]
2024-04-17 00:41:17.392064 [debug]: Respond Client [18] "GET /" with /home/ubuntu/projects/LiteWebServer/resources/index.html
2024-04-17 00:41:17.392151 [debug]: Writing To Client[18]
2024-04-17 00:41:17.392962 [info] : Client[18](202.120.38.17:44301) quit
2024-04-17 00:41:17.411435 [info] : Client[18](202.120.38.17:45069) in
2024-04-17 00:41:17.411507 [info] : Client[18] in!
2024-04-17 00:41:17.411731 [info] : Client[19](202.120.38.17:44813) in
2024-04-17 00:41:17.411764 [info] : Client[19] in!
2024-04-17 00:41:17.411971 [debug]: [GET], [/css/magnific-popup.css], [1.1]
2024-04-17 00:41:17.412289 [debug]: [GET], [/css/animate.css], [1.1]
2024-04-17 00:41:17.413180 [debug]: Respond Client [18] "GET /css/magnific-popup.css" with /home/ubuntu/projects/LiteWebServer/resources/css/magnific-popup.css
2024-04-17 00:41:17.413334 [info] : Client[21](202.120.38.17:45837) in
2024-04-17 00:41:17.413363 [info] : Client[21] in!
2024-04-17 00:41:17.413376 [info] : Client[22](202.120.38.17:44557) in
2024-04-17 00:41:17.413385 [info] : Client[22] in!
2024-04-17 00:41:17.413399 [info] : Client[23](202.120.38.17:45325) in
2024-04-17 00:41:17.413407 [info] : Client[23] in!
2024-04-17 00:41:17.413420 [info] : Client[24](202.120.38.17:45581) in
2024-04-17 00:41:17.413429 [info] : Client[24] in!
2024-04-17 00:41:17.413466 [debug]: Writing To Client[18]
2024-04-17 00:41:17.413584 [info] : Client[18](202.120.38.17:45069) quit
2024-04-17 00:41:17.413861 [debug]: [GET], [/images/profile-image.jpg], [1.1]
2024-04-17 00:41:17.413952 [debug]: [GET], [/css/bootstrap.min.css], [1.1]
2024-04-17 00:41:17.415035 [debug]: Respond Client [21] "GET /images/profile-image.jpg" with /home/ubuntu/projects/LiteWebServer/resources/images/profile-image.jpg
2024-04-17 00:41:17.413478 [debug]: Respond Client [19] "GET /css/animate.css" with /home/ubuntu/projects/LiteWebServer/resources/css/animate.css
2024-04-17 00:41:17.415127 [debug]: Respond Client [22] "GET /css/bootstrap.min.css" with /home/ubuntu/projects/LiteWebServer/resources/css/bootstrap.min.css
2024-04-17 00:41:17.415545 [debug]: [GET], [/css/font-awesome.min.css], [1.1]
2024-04-17 00:41:17.415558 [debug]: [GET], [/css/style.css], [1.1]
2024-04-17 00:41:17.416727 [debug]: Respond Client [23] "GET /css/font-awesome.min.css" with /home/ubuntu/projects/LiteWebServer/resources/css/font-awesome.min.css
2024-04-17 00:41:17.416735 [debug]: Respond Client [24] "GET /css/style.css" with /home/ubuntu/projects/LiteWebServer/resources/css/style.css
2024-04-17 00:41:17.416750 [debug]: Writing To Client[21]
2024-04-17 00:41:17.416829 [debug]: Writing To Client[22]
2024-04-17 00:41:17.416841 [info] : Client[21](202.120.38.17:45837) quit
2024-04-17 00:41:17.416869 [debug]: Writing To Client[23]
2024-04-17 00:41:17.416752 [debug]: Writing To Client[19]
2024-04-17 00:41:17.417043 [info] : Client[23](202.120.38.17:45325) quit
2024-04-17 00:41:17.417151 [debug]: Writing To Client[24]
2024-04-17 00:41:17.417330 [info] : Client[24](202.120.38.17:45581) quit
2024-04-17 00:41:17.417946 [info] : Client[19](202.120.38.17:44813) quit
2024-04-17 00:41:17.424866 [info] : Client[18](202.120.38.17:46093) in
2024-04-17 00:41:17.424976 [info] : Client[18] in!
2024-04-17 00:41:17.425240 [debug]: [GET], [/js/jquery.js], [1.1]
2024-04-17 00:41:17.425906 [debug]: Respond Client [18] "GET /js/jquery.js" with /home/ubuntu/projects/LiteWebServer/resources/js/jquery.js
2024-04-17 00:41:17.425965 [debug]: Writing To Client[18]
2024-04-17 00:41:17.432009 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432079 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432136 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432172 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432218 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432292 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432317 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432359 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432382 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432407 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432448 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432571 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432613 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432648 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432697 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432738 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432777 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432890 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432932 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432970 [debug]: Writing To Client[22]
2024-04-17 00:41:17.432999 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433044 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433083 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433195 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433232 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433297 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433415 [info] : Client[20](202.120.38.17:46349) in
2024-04-17 00:41:17.433441 [info] : Client[20] in!
2024-04-17 00:41:17.433482 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433581 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433605 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433634 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433761 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433855 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433884 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433910 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433936 [debug]: Writing To Client[22]
2024-04-17 00:41:17.433965 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434060 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434088 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434126 [debug]: [GET], [/js/bootstrap.min.js], [1.1]
2024-04-17 00:41:17.434199 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434297 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434435 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434532 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434621 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434674 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434763 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434850 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434938 [debug]: Writing To Client[22]
2024-04-17 00:41:17.434971 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435133 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435228 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435264 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435417 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435451 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435562 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435651 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435696 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435834 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435868 [debug]: Writing To Client[22]
2024-04-17 00:41:17.435956 [debug]: Respond Client [20] "GET /js/bootstrap.min.js" with /home/ubuntu/projects/LiteWebServer/resources/js/bootstrap.min.js
2024-04-17 00:41:17.435996 [debug]: Writing To Client[22]
